Nome do Funcionário;CPF;IR;INSS;Salário Líquido;
Maria Madalena Dos Santos;13456787643;1294,57;751,98;6953,45;
Joao das Couves de Jesus;16587509823;0,00;118,50;1381,50;
Sergio Moreira Gusmao;12893456892;36,31;313,39;2950,30;
Ana Bulinha da Silva;16598762908;186,72;453,28;3660,00;
Raquel das Neves;13460098743;1346,71;751,98;6901,31;
Jorge da Silva Campos;15687469321;0,00;108,06;1275,94;
Jose Gabrich Volpato;17896547832;607,07;751,98;5140,95;
Marcos Flanela Calabria;14536987456;22,76;232,99;2374,25;
Marcela Eduarda de Paiva;15789643214;0,00;32,85;405,15;
Geraldo Severo Potter;16485963214;144,07;453,28;3702,65;
